Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,6.960000,7.340000,6.660000,7.310000,7.310000,14865900
2022-03-16,7.410000,8.140000,7.350000,8.140000,8.140000,17501500
2022-03-17,7.850000,8.620000,7.850000,8.620000,8.620000,11276500
2022-03-18,8.550000,8.955000,8.540000,8.870000,8.870000,10600400
2022-03-21,8.850000,9.115000,8.640000,8.850000,8.850000,8867400
2022-03-22,8.810000,9.440000,8.790000,9.200000,9.200000,9397800
2022-03-23,9.150000,9.475000,9.020000,9.140000,9.140000,8792700
2022-03-24,10.740000,10.900000,9.360000,9.660000,9.660000,61019800
2022-03-25,9.630000,10.170000,9.430000,10.110000,10.110000,18627100
2022-03-28,10.120000,10.560000,9.900000,10.400000,10.400000,12804400
2022-03-29,10.530000,11.470000,10.340000,11.330000,11.330000,25236200
2022-03-30,11.140000,11.870000,10.950000,11.120000,11.120000,15530900
2022-03-31,11.125000,11.140000,10.420000,10.710000,10.710000,11038900
2022-04-01,10.715000,10.880000,9.935000,10.030000,10.030000,12952100
2022-04-04,9.860000,10.770000,9.750000,10.530000,10.530000,10622800
2022-04-05,10.450000,10.525000,9.970000,10.000000,10.000000,7485900
2022-04-06,9.750000,9.880000,9.230000,9.280000,9.280000,11931800
2022-04-07,9.280000,9.340000,8.720000,8.880000,8.880000,11024400
2022-04-08,8.920000,8.960000,8.390000,8.430000,8.430000,7788300
2022-04-11,8.280000,8.650000,8.060000,8.350000,8.350000,8449800
2022-04-12,8.460000,8.620000,8.010000,8.130000,8.130000,9406100
2022-04-13,8.130000,8.480000,7.940000,8.250000,8.250000,7466500
2022-04-14,8.170000,8.230000,7.980000,8.020000,8.020000,6871500
2022-04-18,8.020000,8.020000,7.700000,7.830000,7.830000,7268800
2022-04-19,7.830000,8.090000,7.665000,8.000000,8.000000,5462100
2022-04-20,8.000000,8.190000,7.750000,7.840000,7.840000,6266800
2022-04-21,8.020000,8.240000,7.480000,7.500000,7.500000,8647500
2022-04-22,7.470000,7.785000,7.290000,7.680000,7.680000,7214500
2022-04-25,7.560000,8.000000,7.510000,7.970000,7.970000,7842800
2022-04-26,7.980000,8.001000,7.510000,7.660000,7.660000,7577200
2022-04-27,7.650000,7.880000,7.310000,7.460000,7.460000,8933200
2022-04-28,7.640000,7.683000,7.040000,7.390000,7.390000,8985300
2022-04-29,7.440000,7.635000,7.160000,7.180000,7.180000,7395500
2022-05-02,7.170000,7.230000,6.700000,7.000000,7.000000,20872400
2022-05-03,7.000000,7.300000,6.880000,6.960000,6.960000,13630100
2022-05-04,7.000000,7.250000,6.620000,7.200000,7.200000,13679000
2022-05-05,7.580000,8.290000,7.250000,7.660000,7.660000,25917700
2022-05-06,7.540000,7.670000,6.710000,6.750000,6.750000,18588600
2022-05-09,6.610000,6.620000,5.750000,5.850000,5.850000,22675200
2022-05-10,6.180000,6.200000,5.430000,5.570000,5.570000,17504900
2022-05-11,5.620000,5.710000,5.070000,5.090000,5.090000,16647000
2022-05-12,5.002000,5.730000,4.820000,5.550000,5.550000,20003100
2022-05-13,5.650000,6.510000,5.540000,6.410000,6.410000,21860100
2022-05-16,6.220000,6.360000,5.710000,5.770000,5.770000,11664400
2022-05-17,5.990000,6.160000,5.770000,5.990000,5.990000,10552200
2022-05-18,5.880000,6.300000,5.800000,5.920000,5.920000,11202300
2022-05-19,5.860000,6.270000,5.790000,6.110000,6.110000,11752700
2022-05-20,6.270000,6.280000,5.710000,5.920000,5.920000,11386300
2022-05-23,5.940000,6.280000,5.710000,6.250000,6.250000,9922500
2022-05-24,6.060000,6.100000,5.820000,5.880000,5.880000,7148600
2022-05-25,5.870000,6.255000,5.750000,6.240000,6.240000,12412700
2022-05-26,6.080000,6.932000,6.070000,6.780000,6.780000,18806700
2022-05-27,6.820000,7.200000,6.800000,7.190000,7.190000,11236500
2022-05-31,7.150000,7.400000,6.860000,7.060000,7.060000,12169300
2022-06-01,7.080000,7.225000,6.590000,6.770000,6.770000,10207900
2022-06-02,6.700000,7.440000,6.530000,7.250000,7.250000,24810500
2022-06-03,7.040000,7.080000,6.615000,6.660000,6.660000,10942000
2022-06-06,6.790000,6.790000,6.360000,6.490000,6.490000,11269100
2022-06-07,6.410000,6.545000,6.170000,6.460000,6.460000,8063700
2022-06-08,6.470000,7.360000,6.450000,7.020000,7.020000,19083400
2022-06-09,7.030000,7.145000,6.600000,6.630000,6.630000,8737100
2022-06-10,6.500000,6.655000,6.020000,6.040000,6.040000,10699100
2022-06-13,5.800000,5.970000,5.220000,5.230000,5.230000,13139100
2022-06-14,5.470000,5.480000,5.140000,5.370000,5.370000,9127500
2022-06-15,5.390000,5.790000,5.260000,5.660000,5.660000,12597700
